;respno;country;country_r5list;countrybyregion;urbrur;region;locationlevel1;locationlevel2;locationlevel3;locationlevel4;locationlevel5;townvill;eanumb;eanumb_ab;uniqueea;ea_svc_a;ea_svc_b;ea_svc_c;ea_svc_d;ea_fac_a;ea_fac_b;ea_fac_c;ea_fac_d;ea_fac_e;ea_fac_f;ea_fac_g;ea_sec_a;ea_sec_b;ea_sec_c;ea_sec_d;ea_sec_e;ea_road_a;ea_road_b;nocall_1;nocall_1other;nocall_2;nocall_2other;nocall_3;nocall_3other;nocall_4;nocall_4other;nocall_5;nocall_5other;nocall_6;nocall_7;prevint;thisint;adult_ct;calls;dateintr;strtime;q1;q2;q2other;q3;q4a;q4b;q5;q6;q7;q8a;q8b;q8c;q8d;q8e;q8f;q9;q10a;q10b;q11a;q11b;q12a;q12b;q12c;q12d;q12e;q13;q14;q15a;q15b;q15c;q16;q17;q18;q19a;q19b;q20a;q20b;q21;q22;q23a;q23b;q23c;q23d;q24a;q24b;q24c;q24d;q24e;q24f;q25a;q25b;q26a;q26b;q26c;q26d;q26e;q26f;q27a;q27b;q27c;q27d;q27e;q28a;q28b;q28c;q28d_arb;q29a;q29b;q29c;q29d;q29e;q29f;q29g;q30;q31;q32;q33;q34;q35;q36;q37;q38;q39;q39_arb_a;q39_arb_b;q39_arb_c;q39_arb_d;q40;q41;q42a;q42b;q42c;q43;q44;q45a;q45b;q45c;q45d;q45e;q46;q47a;q47b;q48a;q48b;q48c;q48d;q48e;q48f;q49;q50;q51a;q51b;q51c;q51d;q52a;q52b;q52c;q52d;q52e;q52f;q52g;q52h;q52i;q52j;q52k;q52l;q53a;q53b;q53c;q53d;q53e;q53f;q53g;q53h;q53i;q53j;q54;q55a;q55b;q55c;q55d;q55e;q55f;q55g;q55h;q55i;q55j;q55k;q55l;q56;q57a;q57b;q58;q58other;q59a;q59b;q60pt1;q60pt1other;q60pt2;q60pt2other;q60pt3;q60pt3other;q61a;q61b;q62;q63a;q63b;q63c;q63d;q64;q65a;q65b;q65c;q66a;q66b;q66c;q66d;q66e;q66f;q66g;q66h;q66i;q66j;q66k;q66l;q66m;q67a;q67b;q68a;q68b;q68c;q68d;q69a;q69b;q69c;q70a;q70b;q71a;q71b;q71bother;q72;q73a;q73b;q73c;q73d;q73e;q74a;q74aother;q74b;q74bother;q75a;q75b;q76;q77;q78;q79a;q79b;q80a;q80aother;q80b;q81a;q81b;q81c;q81d;q81e;q87;q87other;q88a;q88b;q89a;q89b;q89c;q89d;q89e;q90a;q90b;q90bother;q91a;q91b;q91c;q91d;q92a;q92b;q93a;q93b;q94;q95;q96a;q96b;q97;q98a;q98aother;q98b;q99;q99other;q100;endtime;length;q101;q102;q102other;q103;q103other;q104;q105;q106;q107a;q107b;q107c;q107d;q107e;q108;q110a;q110b;q110c;q110d;q110e;q110f;q112;q113;q114;q115;q116;q116other;q116a1;q116a1_other;q117;withinwt;combinwt;r1only;r2only;r3only;r4only;r5only;westafricaonly;eastafricaonly;southernafricaonly;northafricaonly;centralafricaonly;geoname_id;precision_code;place_name;latitude;longitude;location_type_code;geoname_adm_code;geoname_adm_name;location_class;geographic_exactness
46737;TUN0001;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;3;;3;;9997;;9997;;9997;;9997;9997;2;1;9;1;18-Apr-15;5:10:00 PM;25;5;;1;1;1;3;1;4;0;0;0;0;1;7;0;1;0;0;0;0;4;4;0;0;3;2;4;4;4;3;1;1;0;0;1;1;1;4;1;1;1;1;3;3;3;3;0;0;2;1;3;1;3;1;2;3;1;0;1;1;4;2;1;1;99;1;Not monopolizing the authority1/No autocracy;No power exploitation;Freedom with the respect of the law;7;8;1;3;4;1;4;1;1;1;1;1;1;99;99;99;99;1;1;4;4;4;3;3;3;2;3;0;3;2;2;1;3;3;1;1;1;0;2;1;0;3;3;0;0;0;3;3;0;0;0;0;3;0;3;2;3;1;3;3;3;1;1;1;1;3;2;7;7;7;7;1;0;7;7;7;7;7;7;7;7;7;7;;0;0;3;;14;;25;;1;0;0;1;1;1;1;3;5;4;1;2;2;2;1;1;1;2;2;2;2;1;3;3;1;1;99;99;99;99;3;2;3;1;4;3;1;;0;7;7;7;7;7;2;;16;;2;3;2;3;3;1;1;1;;3;3;2;6;4;3;99;;99;99;3;3;1;3;3;1;1581;;1;1;1;1;4;3;1;1;5;1;0;7;7;19;;0;1581;;1;6:06:00 PM;56;1;4;;5;;4;8;1;0;0;0;0;0;1;1;1;1;2;2;1;TUN12;23;1;2;5;;48;;5;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46738;TUN0002;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;3;;3;;3;;1;;3;;9997;9997;1;2;4;1;18-Apr-15;5:43:00 PM;55;5;;2;2;3;3;3;4;0;0;0;0;0;7;0;3;2;0;0;4;4;0;0;0;2;2;4;4;4;3;4;4;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;7;7;3;1;3;2;3;3;0;1;0;0;3;5;1;4;99;1;Expression on opinions;;;1;9996;9996;2;1;4;4;4;4;4;4;4;1;99;99;99;99;2;1;5;5;5;1;1;3;3;1;1;1;1;1;1;3;1;3;2;0;0;0;1;0;0;3;0;3;2;3;0;0;3;0;3;3;0;1;0;1;0;3;3;3;3;2;3;3;3;1;7;7;7;7;1;0;7;7;7;7;7;7;7;7;7;7;;0;0;3;;2;;24;;3;0;4;2;1;1;3;1;5;1;1;3;1;1;1;1;1;1;1;1;2;2;1;3;1;1;99;99;99;99;3;1;3;1;4;1;1;;0;7;7;7;7;7;14;;19;Threat from reporting;3;3;3;4;3;1;1;3;;3;3;1;3;4;2;99;;99;99;4;1;1;1;2;1;1580;;1;1;0;1;4;4;1;1;5;0;7;2;2;18;;5;1580;;7;6:30:00 PM;47;2;4;;5;;4;7;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN10;19;1;2;5;;48;;7;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46739;TUN0003;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;2;;6;;7;;9997;;9997;;9997;9997;2;1;2;1;18-Apr-15;5:20:00 PM;64;5;;2;4;4;2;4;4;0;0;0;0;0;7;0;0;0;0;0;0;4;4;3;3;2;1;4;4;4;3;1;3;0;0;0;1;1;3;0;0;1;0;0;0;0;0;0;0;7;7;3;2;3;2;3;2;0;0;0;0;0;5;5;5;99;1;Freedom of expression;High cost of living for everyone;Free elections;1;6;3;1;2;2;3;3;2;2;2;3;2;99;99;99;99;3;3;5;5;5;2;3;2;3;1;0;0;0;2;1;2;1;1;1;3;0;2;2;1;2;2;1;3;2;3;3;2;3;2;3;3;3;2;2;1;0;1;0;1;1;0;2;1;9;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;;1;1;3;;20;;23;;2;0;4;1;1;1;1;4;2;4;1;2;1;1;1;1;1;2;1;3;3;2;2;3;2;2;99;99;99;99;1;0;0;2;3;4;8;;0;7;7;7;7;7;5;;14;;3;3;3;2;3;0;0;2;;1;2;4;3;6;2;99;;99;99;1;3;1;1;2;0;9997;;1;1;0;1;4;3;1;1;5;0;7;2;6;18;;4;9997;;2;6:17:00 PM;57;1;4;;5;;5;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN15;23;2;2;5;;48;;6;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46740;TUN0004;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;3;;5;;3;;9997;;9997;;9997;9997;1;2;2;1;18-Apr-15;5:19:00 PM;47;5;;1;2;4;4;2;4;0;1;0;0;0;7;0;3;1;0;0;4;4;0;0;0;3;2;4;4;4;2;4;1;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;0;7;7;3;2;3;1;3;2;0;3;0;0;1;5;1;1;99;1;Respect human beings/Persons;Sense of citizenship;;10;1;9996;2;2;1;2;4;3;2;5;5;1;99;99;99;99;2;3;5;5;5;1;1;2;2;1;1;1;3;1;1;3;9;1;3;2;0;3;1;0;3;3;0;2;0;2;0;2;0;0;2;2;1;9;0;0;1;1;1;1;2;2;2;3;2;1;1;0;2;0;1;0;7;7;7;7;7;7;7;7;7;4;;1;0;23;;14;;20;;1;0;4;1;1;1;2;1;3;1;5;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;99;99;99;99;3;3;3;3;2;4;1;;0;7;7;7;7;7;12;;4;;2;3;3;4;4;9;9;3;;3;3;1;3;4;9;99;;99;99;3;3;3;3;3;1;1580;;1;1;1;1;4;0;1;1;5;0;12;2;8;18;;0;1580;;1;6:13:00 PM;54;2;4;;5;;4;8;4;0;0;0;0;0;0;1;1;1;1;1;1;TUN13;28;2;2;5;;48;;6;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46741;TUN0005;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;2;;3;;9997;;9997;;9997;;9997;9997;2;1;2;1;18-Apr-15;3:57:00 PM;31;5;;2;4;4;2;2;4;0;0;0;0;3;1;0;2;0;1;0;3;4;2;4;4;2;1;3;4;4;3;2;3;0;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;7;7;2;1;3;2;3;3;1;1;1;0;0;1;1;1;99;1;Freedom of expression;Rights and duties;;1;1;9996;3;4;1;1;1;4;1;1;2;1;99;99;99;99;3;2;5;5;5;1;4;2;2;1;2;1;2;3;1;2;1;1;3;2;0;3;1;1;1;3;0;0;0;2;2;0;0;0;1;3;2;2;2;2;2;1;1;1;1;2;1;1;1;1;7;7;3;2;1;0;7;7;7;7;7;7;0;7;7;10;;1;1;4;;3;;27;;2;0;5;1;1;1;1;2;1;2;4;2;1;1;1;1;1;1;1;3;3;1;1;3;1;1;99;99;99;99;0;1;1;1;2;2;2;;1;0;0;0;0;0;4;;9;;2;2;4;4;3;2;2;3;;3;3;1;5;3;2;99;;99;99;4;4;1;1;4;0;9997;;1;1;0;1;4;4;1;1;5;3;7;2;9;18;;3;9997;;1;4:47:00 PM;50;1;4;;5;;4;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN13;28;2;2;5;;48;;6;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46742;TUN0006;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;2;;9997;;9997;;9997;;9997;;9997;9997;1;2;4;1;18-Apr-15;4:00:00 PM;87;5;;2;4;4;4;3;4;0;0;0;0;0;7;0;0;0;2;0;0;4;0;3;0;2;9;4;4;4;3;1;3;0;0;1;0;6;3;1;0;1;0;0;0;0;0;0;0;7;7;3;2;3;2;2;2;0;0;0;0;0;1;5;1;99;1;Freedom;;;1;9996;9996;1;2;1;1;2;3;2;2;2;2;99;99;99;99;3;2;4;5;4;1;3;1;1;9;1;1;2;2;2;3;0;3;3;3;1;0;1;2;9;2;2;3;2;2;0;9;3;1;3;3;2;9;9;9;0;1;2;0;2;1;9;9;1;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;9;;1;9;26;;35;terrorism;4;;2;0;4;1;1;1;1;2;2;1;2;3;2;2;3;3;3;3;3;3;2;3;2;4;2;2;99;99;99;99;0;2;3;1;4;2;3;;0;7;7;7;7;7;13;;2;;3;2;2;2;3;9;9;3;;1;1;1;0;4;2;99;;99;99;3;3;1;3;4;1;1580;;0;1;0;1;4;4;1;1;2;0;2;1;5;18;;4;1580;;99;5:05:00 PM;65;2;4;;5;;4;8;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN15;23;2;2;5;;48;;6;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46743;TUN0007;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;;3;;9997;;9997;;9997;;9997;9997;2;1;5;1;18-Apr-15;4:22:00 PM;32;5;;1;1;3;3;3;1;0;0;0;0;0;7;0;0;0;0;0;4;0;4;4;4;2;1;1;4;4;3;3;1;0;0;2;3;1;4;0;0;0;0;0;0;0;0;0;0;7;7;3;1;3;1;3;2;0;0;0;0;4;1;1;1;99;1;The non-violation of the others freedom;Respect for other and his opinion;;1;10;9996;1;3;1;4;1;1;4;1;4;1;99;99;99;99;2;1;5;5;4;1;4;2;2;2;1;0;1;1;0;0;1;0;3;0;0;3;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;0;3;3;1;7;7;7;7;1;1;7;7;7;7;7;7;0;7;7;10;;0;0;2;;4;;11;;1;0;4;1;1;1;2;1;1;6;1;2;2;1;1;1;3;1;1;1;1;1;1;4;1;1;99;99;99;99;3;1;1;1;4;1;1;;0;7;7;7;7;7;4;;17;;1;3;3;4;4;9;9;2;;3;3;1;5;5;4;99;;99;99;3;3;3;3;3;1;1583;;1;1;1;1;4;4;1;1;5;3;7;2;5;18;;1;1583;;1;5:10:00 PM;48;1;4;;5;;4;7;1;0;0;0;0;0;0;1;1;1;1;1;1;TUN10;19;1;2;5;;48;;7;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46744;TUN0008;33;32;4;1;1580;Bab El Bhar;;;;;Lac de Tunis;3;1;11144;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;3;;3;;1;;3;;3;;9997;9997;1;2;4;1;18-Apr-15;4:10:00 PM;42;5;;2;1;1;2;2;4;1;1;1;2;3;4;0;0;0;0;0;0;4;0;0;0;2;0;4;4;4;3;3;2;0;0;1;1;1;4;0;0;1;0;0;0;0;0;0;0;7;7;3;1;3;2;1;3;1;1;1;1;0;2;4;2;99;1;Freedom;Responsibility;Citizens respect;1;12;10;3;2;2;2;2;3;2;3;3;2;99;99;99;99;2;3;4;4;3;2;3;2;3;3;3;3;2;9;9;9;0;3;-1;-1;-1;2;1;3;3;3;0;3;3;3;0;0;3;0;3;3;1;0;0;1;1;3;3;2;2;1;0;1;3;1;2;0;2;0;2;0;7;7;7;7;7;7;7;7;7;8;;0;0;3;;4;;20;;1;0;1;1;1;1;1;9;4;3;2;1;1;1;1;1;1;2;2;2;2;1;3;4;1;1;99;99;99;99;0;3;1;1;4;4;2;;0;7;7;7;7;7;2;;14;;2;3;3;3;4;1;3;3;;3;2;5;5;5;2;99;;99;99;3;3;1;3;3;0;9997;;1;1;1;1;4;0;1;1;4;1;2;1;2;18;;5;1580;;1;4:59:00 PM;49;2;4;;5;;1;8;3;0;0;0;0;0;0;1;1;1;1;2;2;TUN12;23;1;2;5;;48;;5;1.0359243;1.04;0;0;0;0;1;0;0;0;1;0;11109175;3;Bab El Bhar;36.801331;10.18534;ADM2;6295630|6255146|TN|36|11109175;Earth|Africa|Tunisia|Gouvernorat de Tunis|Bab El Bhar;1;1
46745;TUN0009;33;32;4;1;1580;El Omrane;;;;;Cité des Olivi;27;2;22288;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;2;;9997;;9997;;9997;;9997;;9997;9997;2;1;2;1;18-Apr-15;5:19:00 PM;46;5;;1;2;2;4;3;1;0;0;0;1;2;3;0;0;0;0;0;4;3;4;0;0;3;2;4;4;4;2;1;3;0;0;1;1;1;4;0;0;1;0;0;0;0;0;0;0;7;7;3;1;3;3;3;3;1;2;1;0;1;1;1;1;99;1;Duties and rights;;;6;9996;9996;1;4;1;4;1;4;3;1;4;1;99;99;99;99;1;1;5;5;5;1;1;1;2;2;2;2;1;1;0;2;1;0;2;2;2;0;1;1;3;3;2;0;0;1;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;2;2;1;3;1;2;0;4;2;4;0;4;0;4;0;7;7;0;7;7;11;;1;0;33;Prices;23;;9995;Transparency;1;0;0;3;3;2;2;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;1;3;1;1;1;5;9999;;1;0;0;1;0;0;6;;14;;3;3;4;4;1;1;1;1582;Japan;3;3;1;5;5;2;99;;99;99;5;5;1;3;3;0;9997;;0;1;1;1;4;0;1;1;5;3;11;4;4;18;;6;9997;;1;6:08:00 PM;49;1;4;;5;;1;8;3;0;0;0;0;0;0;1;1;1;2;1;1;TUN20;27;2;2;5;;48;;6;1.0549917;1.05;0;0;0;0;1;0;0;0;1;0;11109172;3;El Omrane;36.819462;10.1552;ADM2;6295630|6255146|TN|36|11109172;Earth|Africa|Tunisia|Gouvernorat de Tunis|El Omrane;1;1
46746;TUN0010;33;32;4;1;1580;El Omrane;;;;;Cité des Olivi;27;2;22288;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;6;;1;;1;;9997;;9997;;9997;9997;1;2;2;1;18-Apr-15;5:10:00 PM;31;5;;1;1;1;1;2;4;0;0;1;1;2;4;0;2;0;0;0;3;4;0;0;0;2;1;4;4;4;1;2;3;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;7;7;3;2;3;2;3;3;2;1;1;0;1;1;5;4;99;1;Freedom of expression;;;1;9996;9996;3;2;2;2;3;3;2;2;3;1;99;99;99;99;1;2;2;4;4;2;2;2;2;1;0;0;2;1;1;0;2;1;2;1;2;0;1;0;3;2;0;3;0;0;2;0;2;0;2;3;0;0;0;1;3;3;2;1;2;1;1;2;3;1;7;7;4;0;2;0;7;7;7;7;7;7;7;7;7;4;;0;0;23;;24;;33;Prices rising;1;0;0;1;1;1;1;2;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;0;2;1;3;7;5;1;;0;7;7;7;7;7;16;;17;;3;3;3;3;1;2;2;2;;1;2;1;5;5;2;99;;99;99;3;3;1;3;3;0;9997;;1;1;0;1;4;0;1;1;5;3;7;2;2;18;;5;1580;;2;6:09:00 PM;59;2;4;;5;;1;8;2;0;0;0;0;0;0;1;1;1;1;1;1;TUN14;21;2;2;5;;48;;6;1.0549917;1.05;0;0;0;0;1;0;0;0;1;0;11109172;3;El Omrane;36.819462;10.1552;ADM2;6295630|6255146|TN|36|11109172;Earth|Africa|Tunisia|Gouvernorat de Tunis|El Omrane;1;1
